"species","listID","common","endemic","deepsea","distribution","AphiaID","valid_AphiaID","worms_name","status","kingdom","phylum","class","order","family","genus","valid_name"
"Lepidisis olapa","bishop",NA,NA,NA,NA,286334,286334,"Lepidisis olapa","uncertain","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Keratoisididae","Lepidisis","Lepidisis olapa"
"Acabaria bicolor","bishop",NA,NA,NA,NA,288412,746484,"Melithaea bicolor","unaccepted","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Melithaeidae","Acabaria","Melithaea bicolor"
"Allogorgia exserta","bishop",NA,NA,NA,NA,1549755,NA,NA,"nomen dubium","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Plexauridae","Allogorgia",NA
"Euplexaura neglecta","bishop",NA,NA,NA,NA,1549807,NA,NA,"uncertain","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Euplexauridae","Euplexaura",NA
"Narella ornata","bishop",NA,NA,NA,NA,286528,286528,"Narella ornata","accepted","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Primnoidae","Narella","Narella ornata"
"Carijoa riisei","bishop",NA,NA,NA,NA,395098,395098,"Carijoa riisei","accepted","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Carijoidae","Carijoa","Carijoa riisei"
"Sinularia abrupta","bishop",NA,NA,NA,NA,209983,1608810,"Sclerophytum abruptum","superseded combination","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Sinulariidae","Sinularia","Sclerophytum abruptum"
"Sinularia molokaiensis","bishop",NA,NA,NA,NA,288555,1608912,"Sclerophytum molokaiense","superseded combination","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Sinulariidae","Sinularia","Sclerophytum molokaiense"
"Anthelia edmondsoni","bishop",NA,NA,NA,NA,1456334,517780,"Sarcothelia edmondsoni","unaccepted","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Xeniidae","Anthelia","Sarcothelia edmondsoni"
"Actiniogeton sesere","bishop",NA,NA,NA,NA,855157,290054,"Gyractis sesere","unaccepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Actiniogeton","Gyractis sesere"
"Anemonia mutabilis","bishop",NA,NA,NA,NA,411017,411017,"Anemonia mutabilis","accepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Anemonia","Anemonia mutabilis"
"Anthopleura nigrescens","bishop",NA,NA,NA,NA,283368,283368,"Anthopleura nigrescens","accepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Anthopleura","Anthopleura nigrescens"
"Cladactella manni","bishop",NA,NA,NA,NA,289664,289664,"Cladactella manni","accepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Cladactella","Cladactella manni"
"Cladactella obscura","bishop",NA,NA,NA,NA,289665,289665,"Cladactella obscura","accepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Cladactella","Cladactella obscura"
"Aiptasia pulchella","bishop",NA,NA,NA,NA,233893,1264073,"Exaiptasia diaphana","unaccepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Aiptasiidae","Aiptasia","Exaiptasia diaphana"
"Triactis producta","bishop",NA,NA,NA,NA,220506,220506,"Triactis producta","accepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Aliciidae","Triactis","Triactis producta"
"Boloceroides mcmurrichi","bishop",NA,NA,NA,NA,288925,288925,"Boloceroides mcmurrichi","accepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Boloceroididae","Boloceroides","Boloceroides mcmurrichi"
"Bunodeopsis medusoides","bishop",NA,NA,NA,NA,283508,283508,"Bunodeopsis medusoides","accepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Boloceroididae","Bunodeopsis","Bunodeopsis medusoides"
"Diadumene franciscana","bishop",NA,NA,NA,NA,283512,283512,"Diadumene franciscana","accepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Diadumenidae","Diadumene","Diadumene franciscana"
"Diadumene leucolena","bishop",NA,NA,NA,NA,158230,158230,"Diadumene leucolena","accepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Diadumenidae","Diadumene","Diadumene leucolena"
"Diadumene lineata","bishop",NA,NA,NA,NA,395099,395099,"Diadumene lineata","accepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Diadumenidae","Diadumene","Diadumene lineata"
"Calliactis polypus","bishop",NA,NA,NA,NA,220515,220515,"Calliactis polypus","accepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Hormathiidae","Calliactis","Calliactis polypus"
"Calliactis polypus","bishop",NA,NA,NA,NA,855515,100946,"Calliactis parasitica","unaccepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Hormathiidae","Calliactis","Calliactis parasitica"
"Epiphellia humilis","bishop",NA,NA,NA,NA,855852,283679,"Telmatactis humilis","unaccepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Andvakiidae","Epiphellia","Telmatactis humilis"
"Epiphellia pusilla","bishop",NA,NA,NA,NA,289910,289910,"Epiphellia pusilla","accepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Andvakiidae","Epiphellia","Epiphellia pusilla"
"Telmatactis decora","bishop",NA,NA,NA,NA,283678,283678,"Telmatactis decora","accepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Andvakiidae","Telmatactis","Telmatactis decora"
"Heteranthus verruculatus","bishop",NA,NA,NA,NA,290093,290093,"Heteranthus verruculatus","accepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Heteranthidae","Heteranthus","Heteranthus verruculatus"
"Antheopsis papillosa","bishop",NA,NA,NA,NA,855324,289229,"Radianthus malu","unaccepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Antheopsis","Radianthus malu"
"Heteractis malu","bishop",NA,NA,NA,NA,290091,289229,"Radianthus malu","unaccepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Heteractidae","Heteractis","Radianthus malu"
"Acropora cytherea","bishop",NA,NA,NA,NA,207095,207095,"Acropora cytherea","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Acropora","Acropora cytherea"
"Acropora echinata","bishop",NA,NA,NA,NA,207069,207069,"Acropora echinata","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Acropora","Acropora echinata"
"Acropora humilis","bishop","finger staghorn coral",0,0,"NWHI",207094,207094,"Acropora humilis","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Acropora","Acropora humilis"
"Acropora paniculata","bishop","fuzzy table coral",0,0,"NWHI",207008,207008,"Acropora paniculata","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Acropora","Acropora paniculata"
"Acropora valida","bishop","bushy staghorn coral",0,0,"NWHI",207072,207072,"Acropora valida","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Acropora","Acropora valida"
"Montipora capitata","bishop","rice coral",1,0,"STATEWIDE",287697,287697,"Montipora capitata","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Montipora","Montipora capitata"
"Montipora dilatata","bishop","irregular rice coral",1,0,"KBAY",411235,411235,"Montipora dilatata","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Montipora","Montipora dilatata"
"Montipora flabellata","bishop","blue rice coral",1,0,"STATEWIDE",207174,207174,"Montipora flabellata","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Montipora","Montipora flabellata"
"Montipora patula","bishop","sandpaper rice coral",1,0,"STATEWIDE",207149,207149,"Montipora patula","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Montipora","Montipora patula"
"Montipora studeri","bishop","branching rice coral",1,0,"STATEWIDE",411237,411237,"Montipora studeri","taxon inquirendum","Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Montipora","Montipora studeri"
"Montipora tuberculosa","bishop","",0,0,"STATEWIDE",207156,207156,"Montipora tuberculosa","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Montipora","Montipora tuberculosa"
"Montipora turgescens","bishop","lumpy rice coral",0,0,"NWHI",207142,207142,"Montipora turgescens","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Montipora","Montipora turgescens"
"Montipora venosa","bishop",NA,NA,NA,NA,207139,207139,"Montipora venosa","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Montipora","Montipora venosa"
"Montipora verrilli","bishop","",1,0,"STATEWIDE",207136,207136,"Montipora verrilli","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Montipora","Montipora verrilli"
"Montipora verrucosa","bishop",NA,NA,NA,NA,207146,207146,"Montipora verrucosa","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Montipora","Montipora verrucosa"
"Gardineroseris planulata","bishop","honeycomb coral",0,0,"STATEWIDE",207274,207274,"Gardineroseris planulata","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Agariciidae","Gardineroseris","Gardineroseris planulata"
"Leptoseris hawaiiensis","bishop","Hawaiian plate coral",1,0,"STATEWIDE",207291,207291,"Leptoseris hawaiiensis","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Agariciidae","Leptoseris","Leptoseris hawaiiensis"
"Leptoseris incrustans","bishop","swelling coral",0,0,"STATEWIDE",207279,207279,"Leptoseris incrustans","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Agariciidae","Leptoseris","Leptoseris incrustans"
"Leptoseris incrustans","bishop","swelling coral",0,0,"STATEWIDE",764587,207291,"Leptoseris hawaiiensis","junior subjective synonym","Animalia","Cnidaria","Anthozoa","Scleractinia","Agariciidae","Leptoseris","Leptoseris hawaiiensis"
"Leptoseris mycetoseroides","bishop",NA,NA,NA,NA,207283,207283,"Leptoseris mycetoseroides","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Agariciidae","Leptoseris","Leptoseris mycetoseroides"
"Leptoseris papyracea","bishop","papyrus coral",0,0,"STATEWIDE",207278,207278,"Leptoseris papyracea","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Agariciidae","Leptoseris","Leptoseris papyracea"
"Leptoseris scabra","bishop","rough plate coral",0,0,"STATEWIDE",207282,207282,"Leptoseris scabra","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Agariciidae","Leptoseris","Leptoseris scabra"
"Leptoseris tubulifera","bishop","tube coral",0,0,"STATEWIDE",207288,207288,"Leptoseris tubulifera","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Agariciidae","Leptoseris","Leptoseris tubulifera"
"Pavona duerdeni","bishop","flat lobe coral",1,0,"STATEWIDE",207315,207315,"Pavona duerdeni","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Agariciidae","Pavona","Pavona duerdeni"
"Pavona maldivensis","bishop",NA,NA,NA,NA,207309,207309,"Pavona maldivensis","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Agariciidae","Pavona","Pavona maldivensis"
"Pavona varians","bishop","corrugated coral",0,0,"STATEWIDE",207303,207303,"Pavona varians","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Agariciidae","Pavona","Pavona varians"
"Anthemiphyllia dentata","bishop",NA,NA,NA,NA,289412,289412,"Anthemiphyllia dentata","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Anthemiphylliidae","Anthemiphyllia","Anthemiphyllia dentata"
"Anthemiphyllia pacifica","bishop","",NA,1,"",289416,289416,"Anthemiphyllia pacifica","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Anthemiphylliidae","Anthemiphyllia","Anthemiphyllia pacifica"
"Balanophyllia cornu","bishop",NA,NA,NA,NA,1450148,286910,"Balanophyllia (Balanophyllia) cornu","alternate representation","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Balanophyllia","Balanophyllia cornu"
"Balanophyllia cornu","bishop",NA,NA,NA,NA,510884,286952,"Balanophyllia (Balanophyllia) ukrainensis","junior homonym","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Balanophyllia","Balanophyllia ukrainensis"
"Balanophyllia desmophyllioides","bishop",NA,NA,NA,NA,1448610,286915,"Balanophyllia (Balanophyllia) desmophyllioides","alternate representation","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Balanophyllia","Balanophyllia desmophyllioides"
"Balanophyllia diomedeae","bishop","",NA,1,"",1448611,286918,"Balanophyllia (Balanophyllia) diomedeae","alternate representation","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Balanophyllia","Balanophyllia diomedeae"
"Balanophyllia laysanensis","bishop","",NA,1,"",1448614,286933,"Balanophyllia (Balanophyllia) laysanensis","alternate representation","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Balanophyllia","Balanophyllia laysanensis"
"Caryophyllia atlantica","bishop",NA,NA,NA,NA,1288956,135136,"Caryophyllia (Caryophyllia) atlantica","alternate representation","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Caryophyllia","Caryophyllia atlantica"
"Caryophyllia hawaiiensis","bishop",NA,NA,NA,NA,1448631,286745,"Caryophyllia (Caryophyllia) hawaiiensis","alternate representation","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Caryophyllia","Caryophyllia hawaiiensis"
"Caryophyllia marmorea","bishop",NA,NA,NA,NA,1509175,286752,"Caryophyllia (Caryophyllia) marmorea","alternate representation","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Caryophyllia","Caryophyllia marmorea"
"Caryophyllia octopali","bishop",NA,NA,NA,NA,1448635,286754,"Caryophyllia (Caryophyllia) octopali","alternate representation","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Caryophyllia","Caryophyllia octopali"
"Caryophyllia rugosa","bishop",NA,NA,NA,NA,1448643,286763,"Caryophyllia (Caryophyllia) rugosa","alternate representation","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Caryophyllia","Caryophyllia rugosa"
"Ceratotrochus laxus","bishop",NA,NA,NA,NA,411160,411160,"Ceratotrochus laxus","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Ceratotrochus","Ceratotrochus laxus"
"Coenosmilia inordinata","bishop",NA,NA,NA,NA,286786,286786,"Coenosmilia inordinata","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Coenosmilia","Coenosmilia inordinata"
"Conotrochus funicolumna","bishop",NA,NA,NA,NA,289706,289705,"Conotrochus brunneus","junior subjective synonym","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Conotrochus","Conotrochus brunneus"
"Cyathoceras diomedeae","bishop",NA,NA,NA,NA,503993,289743,"Crispatotrochus rubescens","junior subjective synonym","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Cyathoceras","Crispatotrochus rubescens"
"Cyathoceras rubescens","bishop",NA,NA,NA,NA,1373951,289743,"Crispatotrochus rubescens","superseded combination","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Cyathoceras","Crispatotrochus rubescens"
"Deltocyathus andamanicus","bishop","",NA,1,"",286790,286790,"Deltocyathus andamanicus","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Deltocyathidae","Deltocyathus","Deltocyathus andamanicus"
"Deltocyathus stellulatus","bishop",NA,NA,NA,NA,508445,289532,"Bourneotrochus stellulatus","superseded combination","Animalia","Cnidaria","Anthozoa","Scleractinia","Deltocyathidae","Deltocyathus","Bourneotrochus stellulatus"
"Desmophyllum cristagalli","bishop",NA,NA,NA,NA,135158,135159,"Desmophyllum dianthus","junior subjective synonym","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Desmophyllum","Desmophyllum dianthus"
"Paracyathus gardineri","bishop","",NA,1,"",504160,286882,"Trochocyathus (Trochocyathus) gardineri","superseded combination","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Paracyathus","Trochocyathus gardineri"
"Paracyathus mauiensis","bishop","",NA,1,"",411247,286889,"Trochocyathus (Trochocyathus) mauiensis","superseded combination","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Paracyathus","Trochocyathus mauiensis"
"Paracyathus molokensis","bishop","",NA,1,"",286823,286823,"Paracyathus molokensis","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Paracyathus","Paracyathus molokensis"
"Paracyathus tenuicalyx","bishop",NA,NA,NA,NA,504158,286894,"Trochocyathus (Trochocyathus) rhombocolumna","junior subjective synonym","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Paracyathus","Trochocyathus rhombocolumna"
"Peponocyathus orientalis","bishop",NA,NA,NA,NA,509577,135216,"Peponocyathus folliculus","junior subjective synonym","Animalia","Cnidaria","Anthozoa","Scleractinia","Turbinoliidae","Peponocyathus","Peponocyathus folliculus"
"Peponocyathus orientalis","bishop",NA,NA,NA,NA,1509188,1509188,"Peponocyathus orientalis","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Turbinoliidae","Peponocyathus","Peponocyathus orientalis"
"Premocyathus burchae","bishop",NA,NA,NA,NA,504162,286873,"Trochocyathus (Trochocyathus) burchae","superseded combination","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Premocyathus","Trochocyathus burchae"
"Trochocyathus aithoseptatus","bishop",NA,NA,NA,NA,1509183,286870,"Trochocyathus (Trochocyathus) aithoseptatus","alternate representation","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Trochocyathus","Trochocyathus aithoseptatus"
"Trochocyathus gardineri","bishop",NA,NA,NA,NA,1509177,286882,"Trochocyathus (Trochocyathus) gardineri","alternate representation","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Trochocyathus","Trochocyathus gardineri"
"Trochocyathus mauiensis","bishop",NA,NA,NA,NA,1543593,286889,"Trochocyathus (Trochocyathus) mauiensis","alternate representation","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Trochocyathus","Trochocyathus mauiensis"
"Trochocyathus tenuicalyx","bishop",NA,NA,NA,NA,1594711,286894,"Trochocyathus (Trochocyathus) rhombocolumna","junior subjective synonym","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Trochocyathus","Trochocyathus rhombocolumna"
"Bathyactis hawaiiensis","bishop","",NA,1,"",411157,135204,"Fungiacyathus (Fungiacyathus) fragilis","junior subjective synonym","Animalia","Cnidaria","Anthozoa","Scleractinia","Fungiacyathidae","Bathyactis","Fungiacyathus fragilis"
"Cladopsammia echinata","bishop",NA,NA,NA,NA,286956,286956,"Cladopsammia echinata","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Cladopsammia","Cladopsammia echinata"
"Dendrophyllia gaditana","bishop",NA,NA,NA,NA,210742,135189,"Eguchipsammia gaditana","superseded combination","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Dendrophyllia","Eguchipsammia gaditana"
"Dendrophyllia serpentina","bishop",NA,NA,NA,NA,411185,286985,"Eguchipsammia serpentina","superseded combination","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Dendrophyllia","Eguchipsammia serpentina"
"Enallopsammia amphelioides","bishop",NA,NA,NA,NA,503139,135190,"Enallopsammia rostrata","junior subjective synonym","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Enallopsammia","Enallopsammia rostrata"
"Enallopsammia rostrata","bishop",NA,NA,NA,NA,135190,135190,"Enallopsammia rostrata","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Enallopsammia","Enallopsammia rostrata"
"Endopachys grayi","bishop",NA,NA,NA,NA,289891,289891,"Endopachys grayi","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Endopachys","Endopachys grayi"
"Tubastrea coccinea","bishop",NA,NA,NA,NA,1514866,291251,"Tubastraea coccinea","misspelling","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Tubastrea","Tubastraea coccinea"
"Stephanophyllia formosissima","bishop","",NA,1,"",512123,290286,"Letepsammia formosissima","superseded combination","Animalia","Cnidaria","Anthozoa","Scleractinia","Micrabaciidae","Stephanophyllia","Letepsammia formosissima"
"Cyphastrea ocellina","bishop","ocellated coral",0,0,"STATEWIDE",288923,288923,"Cyphastrea ocellina","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Merulinidae","Cyphastrea","Cyphastrea ocellina"
"Favia hawaiiensis","bishop",NA,NA,NA,NA,1504591,207470,"Leptastrea purpurea","junior subjective synonym","Animalia","Cnidaria","Anthozoa","Scleractinia","Faviidae","Favia","Leptastrea purpurea"
"Favia hombroni","bishop",NA,NA,NA,NA,207436,763067,"Goniastrea stelligera","junior subjective synonym","Animalia","Cnidaria","Anthozoa","Scleractinia","Faviidae","Favia","Goniastrea stelligera"
"Favia rudis","bishop",NA,NA,NA,NA,1564700,758219,"Dipsastraea speciosa","junior subjective synonym","Animalia","Cnidaria","Anthozoa","Scleractinia","Faviidae","Favia","Dipsastraea speciosa"
"Leptastrea bottae","bishop","",0,0,"STATEWIDE",207476,207476,"Leptastrea bottae","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Leptastreidae","Leptastrea","Leptastrea bottae"
"Leptastrea purpurea","bishop","crust coral",0,0,"STATEWIDE",207470,207470,"Leptastrea purpurea","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Leptastreidae","Leptastrea","Leptastrea purpurea"
"Flabellum deludens","bishop","",NA,1,"",1431111,287007,"Flabellum (Ulocyathus) deludens","alternate representation","Animalia","Cnidaria","Anthozoa","Scleractinia","Flabellidae","Flabellum","Flabellum deludens"
"Flabellum marcus","bishop",NA,NA,NA,NA,1509248,287016,"Flabellum (Ulocyathus) marcus","alternate representation","Animalia","Cnidaria","Anthozoa","Scleractinia","Flabellidae","Flabellum","Flabellum marcus"
"Flabellum vaughani","bishop",NA,NA,NA,NA,1509247,287031,"Flabellum (Flabellum) vaughani","alternate representation","Animalia","Cnidaria","Anthozoa","Scleractinia","Flabellidae","Flabellum","Flabellum vaughani"
"Gardineria hawaiiensis","bishop",NA,NA,NA,NA,287443,287443,"Gardineria hawaiiensis","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Gardineriidae","Gardineria","Gardineria hawaiiensis"
"Javania insignis","bishop",NA,NA,NA,NA,287036,287036,"Javania insignis","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Flabellidae","Javania","Javania insignis"
"Javania lamprotichum","bishop",NA,NA,NA,NA,287037,287037,"Javania lamprotichum","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Flabellidae","Javania","Javania lamprotichum"
"Placotrochus fuscus","bishop","",NA,1,"",509758,287035,"Javania fusca","superseded combination","Animalia","Cnidaria","Anthozoa","Scleractinia","Flabellidae","Placotrochus","Javania fusca"
